num_prod num_cons num_oper result runtime
50 50 100000 1 0.516298770904541
50 50 100000 1 0.5962443351745605
50 50 100000 1 0.5291552543640137
50 50 100000 1 0.533153772354126
50 50 100000 1 0.493394136428833
50 50 200000 1 1.3128793239593506
50 50 200000 1 1.5676450729370117
50 50 200000 1 1.3204894065856934
50 50 200000 1 1.114121675491333
50 50 200000 1 1.999859094619751
50 50 300000 1 2.2988524436950684
50 50 300000 1 1.6357786655426025
50 50 300000 1 1.9357998371124268
50 50 300000 1 1.8477909564971924
50 50 300000 1 1.681131362915039
50 50 400000 1 2.678875207901001
50 50 400000 1 2.3391153812408447
50 50 400000 1 2.280808925628662
50 50 400000 1 3.1806185245513916
50 50 400000 1 2.3853323459625244
50 50 500000 1 3.734334945678711
50 50 500000 1 2.842880964279175
50 50 500000 1 3.0466701984405518
50 50 500000 1 3.0064151287078857
50 50 500000 1 3.9311039447784424
50 50 600000 1 3.763714551925659
50 50 600000 1 3.6685945987701416
50 50 600000 1 3.513928174972534
50 50 600000 1 3.8783740997314453
50 50 600000 1 3.7617745399475098
50 50 700000 1 4.223018646240234
50 50 700000 1 4.155977964401245
50 50 700000 1 4.693441152572632
50 50 700000 1 4.790582180023193
50 50 700000 1 5.308537006378174
50 50 800000 1 5.437958717346191
50 50 800000 1 5.065463304519653
50 50 800000 1 5.450700283050537
50 50 800000 1 5.256834983825684
50 50 800000 1 5.288401365280151
50 50 900000 1 5.491687059402466
50 50 900000 1 5.7875144481658936
50 50 900000 1 6.631248235702515
50 50 900000 1 5.8706207275390625
50 50 900000 1 4.664891242980957
50 50 1000000 1 6.9695775508880615
50 50 1000000 1 6.989313840866089
50 50 1000000 1 6.203869819641113
50 50 1000000 1 6.216364622116089
50 50 1000000 1 6.676482439041138
