num_prod num_cons num_oper result runtime
5 5 1000000 1 3.0431954860687256
5 5 1000000 1 2.9595139026641846
5 5 1000000 1 2.981828451156616
5 5 1000000 1 3.064581871032715
5 5 1000000 1 2.9447715282440186
10 10 1000000 1 3.2833163738250732
10 10 1000000 1 3.310732364654541
10 10 1000000 1 3.282970905303955
10 10 1000000 1 3.2828521728515625
10 10 1000000 1 3.2950589656829834
15 15 1000000 1 3.4282236099243164
15 15 1000000 1 3.410076379776001
15 15 1000000 1 3.4706103801727295
15 15 1000000 1 3.5185158252716064
15 15 1000000 1 3.433748245239258
20 20 1000000 1 3.608046770095825
20 20 1000000 1 3.6264114379882812
20 20 1000000 1 3.505178213119507
20 20 1000000 1 3.5517289638519287
20 20 1000000 1 3.610915184020996
25 25 1000000 1 3.5497570037841797
25 25 1000000 1 3.4980967044830322
25 25 1000000 1 3.5147998332977295
25 25 1000000 1 3.601552724838257
25 25 1000000 1 3.548701286315918
30 30 1000000 1 3.4819509983062744
30 30 1000000 1 3.883810520172119
30 30 1000000 1 3.7134664058685303
30 30 1000000 1 3.4712560176849365
30 30 1000000 1 3.630002021789551
35 35 1000000 1 3.5066235065460205
35 35 1000000 1 3.6095011234283447
35 35 1000000 1 3.543391466140747
35 35 1000000 1 3.539727210998535
35 35 1000000 1 3.5947651863098145
40 40 1000000 1 3.721637010574341
40 40 1000000 1 4.073464632034302
40 40 1000000 1 3.928128480911255
40 40 1000000 1 3.9110357761383057
40 40 1000000 1 3.698091745376587
45 45 1000000 1 3.6711573600769043
45 45 1000000 1 3.5265302658081055
45 45 1000000 1 3.7111239433288574
45 45 1000000 1 3.4523329734802246
45 45 1000000 1 3.5501277446746826
50 50 1000000 1 3.5514132976531982
50 50 1000000 1 3.7118303775787354
50 50 1000000 1 3.52246356010437
50 50 1000000 1 3.4963016510009766
50 50 1000000 1 3.5631420612335205
