num_prod num_cons num_oper result runtime
5 5 1000000 1 4.8530495166778564
5 5 1000000 1 4.980747938156128
5 5 1000000 1 5.177405595779419
5 5 1000000 1 5.075366497039795
5 5 1000000 1 4.761002063751221
10 10 1000000 1 6.206677436828613
10 10 1000000 1 6.191685199737549
10 10 1000000 1 6.032531499862671
10 10 1000000 1 6.3852832317352295
10 10 1000000 1 5.877755641937256
15 15 1000000 1 6.435018301010132
15 15 1000000 1 6.7759459018707275
15 15 1000000 1 6.656630277633667
15 15 1000000 1 6.539127349853516
15 15 1000000 1 5.965084552764893
20 20 1000000 1 5.937714099884033
20 20 1000000 1 6.0898802280426025
20 20 1000000 1 6.341022729873657
20 20 1000000 1 6.709940433502197
20 20 1000000 1 6.660635948181152
25 25 1000000 1 6.6018853187561035
25 25 1000000 1 6.621034145355225
25 25 1000000 1 6.55351996421814
25 25 1000000 1 6.609009027481079
25 25 1000000 1 6.276842832565308
30 30 1000000 1 6.104655742645264
30 30 1000000 1 6.136861801147461
30 30 1000000 1 5.917264461517334
30 30 1000000 1 6.55321478843689
30 30 1000000 1 6.706928014755249
35 35 1000000 1 6.491473436355591
35 35 1000000 1 6.484444856643677
35 35 1000000 1 6.518158912658691
35 35 1000000 1 6.198256731033325
35 35 1000000 1 5.954672813415527
40 40 1000000 1 6.200290203094482
40 40 1000000 1 6.430459976196289
40 40 1000000 1 6.150745868682861
40 40 1000000 1 7.242604970932007
40 40 1000000 1 6.4986793994903564
45 45 1000000 1 6.848451852798462
45 45 1000000 1 6.340264081954956
45 45 1000000 1 6.8811726570129395
45 45 1000000 1 6.5114216804504395
45 45 1000000 1 6.208636522293091
50 50 1000000 1 6.9695775508880615
50 50 1000000 1 6.989313840866089
50 50 1000000 1 6.203869819641113
50 50 1000000 1 6.216364622116089
50 50 1000000 1 6.676482439041138
