num_prod num_cons num_oper result runtime
50 50 100000 1 0.2660367488861084
50 50 100000 1 1.1168503761291504
50 50 100000 1 0.25327372550964355
50 50 100000 1 0.9340581893920898
50 50 100000 1 0.2363452911376953
50 50 200000 1 0.6525766849517822
50 50 200000 1 1.2270612716674805
50 50 200000 1 0.48982977867126465
50 50 200000 1 0.4132962226867676
50 50 200000 1 0.8578875064849854
50 50 300000 1 0.7082462310791016
50 50 300000 1 0.7012147903442383
50 50 300000 1 1.472038984298706
50 50 300000 1 0.7783660888671875
50 50 300000 1 0.6643168926239014
50 50 400000 1 1.156801462173462
50 50 400000 1 1.4773294925689697
50 50 400000 1 1.1787662506103516
50 50 400000 1 1.68023681640625
50 50 400000 1 1.729097843170166
50 50 500000 1 1.4663629531860352
50 50 500000 1 1.4452738761901855
50 50 500000 1 1.371293067932129
50 50 500000 1 1.3497872352600098
50 50 500000 1 1.937953233718872
50 50 600000 1 2.0334012508392334
50 50 600000 1 1.6160247325897217
50 50 600000 1 1.940833330154419
50 50 600000 1 1.9154350757598877
50 50 600000 1 1.4777154922485352
50 50 700000 1 2.8050599098205566
50 50 700000 1 1.7034873962402344
50 50 700000 1 1.7621183395385742
50 50 700000 1 1.6572601795196533
50 50 700000 1 1.7496180534362793
50 50 800000 1 2.1118736267089844
50 50 800000 1 2.471529722213745
50 50 800000 1 2.2163970470428467
50 50 800000 1 2.9080116748809814
50 50 800000 1 2.205568552017212
50 50 900000 1 2.671996593475342
50 50 900000 1 2.8718886375427246
50 50 900000 1 2.4080677032470703
50 50 900000 1 2.4406821727752686
50 50 900000 1 2.8692831993103027
50 50 1000000 1 2.483339548110962
50 50 1000000 1 3.6008071899414062
50 50 1000000 1 2.763561248779297
50 50 1000000 1 2.6453447341918945
50 50 1000000 1 3.2385289669036865
