num_prod num_cons num_oper result runtime
5 5 1000000 1 2.522825002670288
5 5 1000000 1 2.165058135986328
5 5 1000000 1 2.99137282371521
5 5 1000000 1 2.3479864597320557
5 5 1000000 1 2.4251344203948975
10 10 1000000 1 2.576357126235962
10 10 1000000 1 2.360959768295288
10 10 1000000 1 2.4712140560150146
10 10 1000000 1 2.7685868740081787
10 10 1000000 1 2.5888216495513916
15 15 1000000 1 3.136953115463257
15 15 1000000 1 2.6254141330718994
15 15 1000000 1 2.7364044189453125
15 15 1000000 1 2.7144052982330322
15 15 1000000 1 2.705869674682617
20 20 1000000 1 2.751652956008911
20 20 1000000 1 2.46856951713562
20 20 1000000 1 2.936455726623535
20 20 1000000 1 2.7533905506134033
20 20 1000000 1 2.5441389083862305
25 25 1000000 1 2.4890809059143066
25 25 1000000 1 2.6107208728790283
25 25 1000000 1 2.5908291339874268
25 25 1000000 1 3.0957629680633545
25 25 1000000 1 2.9086623191833496
30 30 1000000 1 2.796349287033081
30 30 1000000 1 2.573085069656372
30 30 1000000 1 2.5945491790771484
30 30 1000000 1 2.610652208328247
30 30 1000000 1 2.9780166149139404
35 35 1000000 1 2.5690765380859375
35 35 1000000 1 2.9972219467163086
35 35 1000000 1 3.079784631729126
35 35 1000000 1 2.932964324951172
35 35 1000000 1 2.848221778869629
40 40 1000000 1 3.07804536819458
40 40 1000000 1 2.869739294052124
40 40 1000000 1 2.5738589763641357
40 40 1000000 1 2.7745213508605957
40 40 1000000 1 2.5862181186676025
45 45 1000000 1 2.685147285461426
45 45 1000000 1 2.9074792861938477
45 45 1000000 1 3.0355801582336426
45 45 1000000 1 2.8000175952911377
45 45 1000000 1 3.2351722717285156
50 50 1000000 1 2.483339548110962
50 50 1000000 1 3.6008071899414062
50 50 1000000 1 2.763561248779297
50 50 1000000 1 2.6453447341918945
50 50 1000000 1 3.2385289669036865
