num_prod num_cons num_oper result runtime
50 50 100000 1 0.2635154724121094
50 50 100000 1 0.2569241523742676
50 50 100000 1 0.2685356140136719
50 50 100000 1 0.26401805877685547
50 50 100000 1 0.2673475742340088
50 50 200000 1 0.6033577919006348
50 50 200000 1 0.5823214054107666
50 50 200000 1 0.5981588363647461
50 50 200000 1 0.5671103000640869
50 50 200000 1 0.585702657699585
50 50 300000 1 0.8426589965820312
50 50 300000 1 0.9041273593902588
50 50 300000 1 0.848618745803833
50 50 300000 1 0.8924975395202637
50 50 300000 1 0.9359879493713379
50 50 400000 1 1.2768440246582031
50 50 400000 1 1.2610151767730713
50 50 400000 1 1.2996325492858887
50 50 400000 1 1.2576370239257812
50 50 400000 1 1.2914903163909912
50 50 500000 1 1.5744452476501465
50 50 500000 1 1.5799641609191895
50 50 500000 1 1.5918214321136475
50 50 500000 1 1.5256307125091553
50 50 500000 1 1.5969882011413574
50 50 600000 1 1.9460506439208984
50 50 600000 1 2.00288987159729
50 50 600000 1 1.8974432945251465
50 50 600000 1 1.878023386001587
50 50 600000 1 1.8704240322113037
50 50 700000 1 2.273324728012085
50 50 700000 1 2.3782873153686523
50 50 700000 1 2.313307046890259
50 50 700000 1 2.3732194900512695
50 50 700000 1 2.3308017253875732
50 50 800000 1 2.9257707595825195
50 50 800000 1 2.8828508853912354
50 50 800000 1 2.860562562942505
50 50 800000 1 2.905848741531372
50 50 800000 1 3.0826432704925537
50 50 900000 1 3.236659526824951
50 50 900000 1 3.1293230056762695
50 50 900000 1 3.2040624618530273
50 50 900000 1 3.367600917816162
50 50 900000 1 3.198647975921631
50 50 1000000 1 3.5514132976531982
50 50 1000000 1 3.7118303775787354
50 50 1000000 1 3.52246356010437
50 50 1000000 1 3.4963016510009766
50 50 1000000 1 3.5631420612335205
